COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Mendocino,2017–2018,Age groups,65+ years,20.300,(3.2–37.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2017–2018,Age groups,65+ years,25.900,(4.6–47.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2017–2018,Age groups,65+ years,16.500,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2017–2018,Age groups,65+ years,20.600,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2017–2018,Age groups,65+ years,14.400,(6.0–22.9),,
Napa,2017–2018,Age groups,65+ years,20.200,(5.2–35.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Age groups,65+ years,11.400,(1.8–21.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2017–2018,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
Placer,2017–2018,Age groups,65+ years,12.700,(3.6–21.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2017–2018,Age groups,65+ years,16.500,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2017–2018,Age groups,65+ years,12.400,(5.8–19.0),,
Sacramento,2017–2018,Age groups,65+ years,20.200,(9.2–31.2),,
San Benito,2017–2018,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
San Bernardino,2017–2018,Age groups,65+ years,12.500,(5.8–19.2),,
San Diego,2017–2018,Age groups,65+ years,11.600,(7.1–16.1),,
San Francisco,2017–2018,Age groups,65+ years,13.100,(3.0–23.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Joaquin,2017–2018,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
San Luis Obispo,2017–2018,Age groups,65+ years,17.200,(6.5–28.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2017–2018,Age groups,65+ years,15.400,(2.2–28.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2017–2018,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
Santa Clara,2017–2018,Age groups,65+ years,16.400,(9.2–23.6),,
Santa Cruz,2017–2018,Age groups,65+ years,17.300,(4.2–30.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Shasta,2017–2018,Age groups,65+ years,8.900,(3.2–14.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sierra,2017–2018,Age groups,65+ years,16.500,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2017–2018,Age groups,65+ years,16.500,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2017–2018,Age groups,65+ years,20.300,(7.8–32.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sonoma,2017–2018,Age groups,65+ years,19.700,(6.5–32.9),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2017–2018,Age groups,65+ years,15.500,(1.6–29.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sutter,2017–2018,Age groups,65+ years,27.300,(8.4–46.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2017–2018,Age groups,65+ years,16.700,(2.6–30.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Trinity,2017–2018,Age groups,65+ years,16.500,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2017–2018,Age groups,65+ years,20.300,(2.5–38.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tuolumne,2017–2018,Age groups,65+ years,20.600,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2017–2018,Age groups,65+ years,17.600,(7.0–28.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yolo,2017–2018,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
Yuba,2017–2018,Age groups,65+ years,17.700,(2.8–32.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2019–2020,Total population,All ages,15.100,(14.7–15.6),,
Alameda,2019–2020,Total population,All ages,14.900,(12.5–17.3),,
Alpine,2019–2020,Total population,All ages,25.100,(20.2–30.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2019–2020,Total population,All ages,25.100,(20.2–30.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2019–2020,Total population,All ages,20.200,(14.7–25.6),,
Calaveras,2019–2020,Total population,All ages,25.100,(20.2–30.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2019–2020,Total population,All ages,18.600,(12.5–24.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2019–2020,Total population,All ages,17.900,(14.2–21.5),,
Del Norte,2019–2020,Total population,All ages,13.300,(10.2–16.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2019–2020,Total population,All ages,17.400,(12.8–22.1),,
Fresno,2019–2020,Total population,All ages,20.000,(16.3–23.7),,
Glenn,2019–2020,Total population,All ages,18.600,(12.5–24.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2019–2020,Total population,All ages,16.800,(12.9–20.8),,
Imperial,2019–2020,Total population,All ages,15.900,(11.4–20.3),,
Inyo,2019–2020,Total population,All ages,25.100,(20.2–30.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2019–2020,Total population,All ages,17.700,(14.1–21.4),,
Kings,2019–2020,Total population,All ages,21.200,(16.0–26.4),,
Lake,2019–2020,Total population,All ages,19.000,(13.8–24.3),,
Lassen,2019–2020,Total population,All ages,13.300,(10.2–16.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2019–2020,Total population,All ages,14.600,(13.6–15.7),,
Madera,2019–2020,Total population,All ages,19.400,(13.9–25.0),,
Marin,2019–2020,Total population,All ages,19.600,(14.4–24.9),,
Mariposa,2019–2020,Total population,All ages,25.100,(20.2–30.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2019–2020,Total population,All ages,13.600,(8.7–18.5),,
Merced,2019–2020,Total population,All ages,18.900,(13.2–24.7),,
Modoc,2019–2020,Total population,All ages,13.300,(10.2–16.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2019–2020,Total population,All ages,25.100,(20.2–30.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2019–2020,Total population,All ages,14.400,(10.9–17.9),,
Napa,2019–2020,Total population,All ages,22.000,(12.3–31.8),,
Nevada,2019–2020,Total population,All ages,14.500,(10.6–18.4),,
Orange,2019–2020,Total population,All ages,14.200,(12.4–16.1),,
Placer,2019–2020,Total population,All ages,17.700,(13.7–21.8),,
Plumas,2019–2020,Total population,All ages,13.300,(10.2–16.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2019–2020,Total population,All ages,12.200,(10.4–14.0),,
Sacramento,2019–2020,Total population,All ages,16.000,(13.2–18.8),,
San Benito,2019–2020,Total population,All ages,16.400,(8.7–24.0),,
San Bernardino,2019–2020,Total population,All ages,12.800,(10.7–15.0),,
San Diego,2019–2020,Total population,All ages,14.200,(12.8–15.7),,
San Francisco,2019–2020,Total population,All ages,15.400,(12.3–18.4),,
San Joaquin,2019–2020,Total population,All ages,15.900,(12.2–19.6),,
San Luis Obispo,2019–2020,Total population,All ages,15.400,(8.8–22.1),,
San Mateo,2019–2020,Total population,All ages,17.100,(13.4–20.8),,
Santa Barbara,2019–2020,Total population,All ages,9.600,(6.5–12.7),,
Santa Clara,2019–2020,Total population,All ages,14.500,(12.4–16.7),,
Santa Cruz,2019–2020,Total population,All ages,15.200,(11.1–19.3),,
Shasta,2019–2020,Total population,All ages,20.500,(14.1–27.0),,
Sierra,2019–2020,Total population,All ages,13.300,(10.2–16.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2019–2020,Total population,All ages,13.300,(10.2–16.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2019–2020,Total population,All ages,22.300,(16.0–28.5),,
Sonoma,2019–2020,Total population,All ages,17.700,(12.9–22.5),,
Stanislaus,2019–2020,Total population,All ages,17.000,(13.4–20.6),,
Sutter,2019–2020,Total population,All ages,16.700,(10.4–23.0),,
Tehama,2019–2020,Total population,All ages,18.600,(12.5–24.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2019–2020,Total population,All ages,13.300,(10.2–16.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2019–2020,Total population,All ages,9.900,(6.6–13.3),,
Tuolumne,2019–2020,Total population,All ages,25.100,(20.2–30.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2019–2020,Total population,All ages,12.800,(9.5–16.0),,
Yolo,2019–2020,Total population,All ages,24.700,(17.5–31.9),,
Yuba,2019–2020,Total population,All ages,15.000,(10.7–19.4),,
California,2019–2020,Child vs. adult,0–17 years,11.900,(10.9–12.9),,
Alameda,2019–2020,Child vs. adult,0–17 years,15.800,(10.9–20.7),,
Alpine,2019–2020,Child vs. adult,0–17 years,15.700,(6.2–25.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2019–2020,Child vs. adult,0–17 years,15.700,(6.2–25.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2019–2020,Child vs. adult,0–17 years,31.700,(15.5–48.0),,
Calaveras,2019–2020,Child vs. adult,0–17 years,15.700,(6.2–25.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2019–2020,Child vs. adult,0–17 years,13.900,(4.2–23.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Contra Costa,2019–2020,Child vs. adult,0–17 years,10.300,(4.2–16.4),,
Del Norte,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2019–2020,Child vs. adult,0–17 years,12.900,(1.3–24.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2019–2020,Child vs. adult,0–17 years,12.600,(6.1–19.1),,
Glenn,2019–2020,Child vs. adult,0–17 years,13.900,(4.2–23.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Humboldt,2019–2020,Child vs. adult,0–17 years,19.800,(8.3–31.3),,
Imperial,2019–2020,Child vs. adult,0–17 years,10.400,(2.5–18.4),,
Inyo,2019–2020,Child vs. adult,0–17 years,15.700,(6.2–25.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2019–2020,Child vs. adult,0–17 years,7.300,(3.1–11.5),,
Kings,2019–2020,Child vs. adult,0–17 years,27.700,(14.0–41.4),,
Lake,2019–2020,Child vs. adult,0–17 years,13.300,(3.3–23.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lassen,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Los Angeles,2019–2020,Child vs. adult,0–17 years,12.800,(10.3–15.3),,
Madera,2019–2020,Child vs. adult,0–17 years,12.800,(0.8–24.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2019–2020,Child vs. adult,0–17 years,23.200,(13.4–33.0),,
Mariposa,2019–2020,Child vs. adult,0–17 years,15.700,(6.2–25.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Merced,2019–2020,Child vs. adult,0–17 years,11.000,(1.3–20.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mono,2019–2020,Child vs. adult,0–17 years,15.700,(6.2–25.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2019–2020,Child vs. adult,0–17 years,14.100,(9.5–18.7),,
Napa,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Nevada,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Orange,2019–2020,Child vs. adult,0–17 years,13.800,(10.4–17.3),,
Placer,2019–2020,Child vs. adult,0–17 years,10.000,(2.8–17.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Riverside,2019–2020,Child vs. adult,0–17 years,11.500,(6.8–16.2),,
Sacramento,2019–2020,Child vs. adult,0–17 years,8.100,(3.7–12.5),,
San Benito,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Bernardino,2019–2020,Child vs. adult,0–17 years,8.700,(4.3–13.0),,
San Diego,2019–2020,Child vs. adult,0–17 years,9.800,(7.5–12.1),,
San Francisco,2019–2020,Child vs. adult,0–17 years,10.600,(6.2–15.0),,
San Joaquin,2019–2020,Child vs. adult,0–17 years,19.500,(8.9–30.1),,
San Luis Obispo,2019–2020,Child vs. adult,0–17 years,2.300,(0.4–4.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2019–2020,Child vs. adult,0–17 years,13.700,(6.0–21.4),,
Santa Barbara,2019–2020,Child vs. adult,0–17 years,4.800,(1.1–8.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2019–2020,Child vs. adult,0–17 years,9.000,(4.3–13.7),,
Santa Cruz,2019–2020,Child vs. adult,0–17 years,9.900,(1.5–18.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Shasta,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sierra,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Siskiyou,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Solano,2019–2020,Child vs. adult,0–17 years,7.000,(2.4–11.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sonoma,2019–2020,Child vs. adult,0–17 years,6.000,(0.2–11.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2019–2020,Child vs. adult,0–17 years,16.700,(8.4–25.1),,
Sutter,2019–2020,Child vs. adult,0–17 years,14.500,(3.1–26.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2019–2020,Child vs. adult,0–17 years,13.900,(4.2–23.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Trinity,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Tulare,2019–2020,Child vs. adult,0–17 years,4.900,(0.3–9.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tuolumne,2019–2020,Child vs. adult,0–17 years,15.700,(6.2–25.3),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2019–2020,Child vs. adult,0–17 years,16.600,(6.2–27.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yolo,2019–2020,Child vs. adult,0–17 years,10.900,(1.8–20.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2019–2020,Child vs. adult,0–17 years,11.100,(3.5–18.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2019–2020,Child vs. adult,18+ years,16.200,(15.7–16.7),,
Alameda,2019–2020,Child vs. adult,18+ years,14.600,(12.2–17.1),,
Alpine,2019–2020,Child vs. adult,18+ years,26.600,(21.3–32.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2019–2020,Child vs. adult,18+ years,26.600,(21.3–32.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2019–2020,Child vs. adult,18+ years,17.300,(12.3–22.2),,
Calaveras,2019–2020,Child vs. adult,18+ years,26.600,(21.3–32.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2019–2020,Child vs. adult,18+ years,20.200,(13.1–27.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2019–2020,Child vs. adult,18+ years,19.900,(15.9–24.0),,
Del Norte,2019–2020,Child vs. adult,18+ years,15.600,(12.0–19.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2019–2020,Child vs. adult,18+ years,18.300,(13.5–23.0),,
Fresno,2019–2020,Child vs. adult,18+ years,22.800,(18.6–27.0),,
Glenn,2019–2020,Child vs. adult,18+ years,20.200,(13.1–27.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2019–2020,Child vs. adult,18+ years,16.100,(12.4–19.8),,
Imperial,2019–2020,Child vs. adult,18+ years,18.100,(13.2–23.1),,
Inyo,2019–2020,Child vs. adult,18+ years,26.600,(21.3–32.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2019–2020,Child vs. adult,18+ years,22.000,(17.2–26.9),,
Kings,2019–2020,Child vs. adult,18+ years,18.400,(13.3–23.6),,
Lake,2019–2020,Child vs. adult,18+ years,20.900,(15.1–26.8),,
Lassen,2019–2020,Child vs. adult,18+ years,15.600,(12.0–19.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2019–2020,Child vs. adult,18+ years,15.200,(14.0–16.4),,
Madera,2019–2020,Child vs. adult,18+ years,22.000,(16.1–27.8),,
Marin,2019–2020,Child vs. adult,18+ years,18.700,(12.7–24.6),,
Mariposa,2019–2020,Child vs. adult,18+ years,26.600,(21.3–32.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2019–2020,Child vs. adult,18+ years,15.100,(9.9–20.3),,
Merced,2019–2020,Child vs. adult,18+ years,22.000,(15.2–28.9),,
Modoc,2019–2020,Child vs. adult,18+ years,15.600,(12.0–19.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2019–2020,Child vs. adult,18+ years,26.600,(21.3–32.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2019–2020,Child vs. adult,18+ years,14.500,(10.0–18.9),,
Napa,2019–2020,Child vs. adult,18+ years,20.000,(13.0–27.1),,
Nevada,2019–2020,Child vs. adult,18+ years,16.100,(11.6–20.5),,
Orange,2019–2020,Child vs. adult,18+ years,14.300,(12.2–16.4),,
Placer,2019–2020,Child vs. adult,18+ years,19.900,(15.3–24.4),,
Plumas,2019–2020,Child vs. adult,18+ years,15.600,(12.0–19.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2019–2020,Child vs. adult,18+ years,12.500,(10.5–14.4),,
Sacramento,2019–2020,Child vs. adult,18+ years,18.600,(15.0–22.2),,
San Benito,2019–2020,Child vs. adult,18+ years,18.800,(12.8–24.8),,
San Bernardino,2019–2020,Child vs. adult,18+ years,14.300,(11.8–16.8),,
San Diego,2019–2020,Child vs. adult,18+ years,15.700,(13.9–17.4),,
San Francisco,2019–2020,Child vs. adult,18+ years,16.300,(13.0–19.7),,
San Joaquin,2019–2020,Child vs. adult,18+ years,14.600,(10.8–18.4),,
San Luis Obispo,2019–2020,Child vs. adult,18+ years,20.600,(11.3–29.9),,
San Mateo,2019–2020,Child vs. adult,18+ years,18.100,(13.9–22.2),,
Santa Barbara,2019–2020,Child vs. adult,18+ years,11.000,(7.1–14.8),,
Santa Clara,2019–2020,Child vs. adult,18+ years,16.200,(13.8–18.6),,
Santa Cruz,2019–2020,Child vs. adult,18+ years,16.200,(11.7–20.8),,
Shasta,2019–2020,Child vs. adult,18+ years,20.200,(15.1–25.3),,
Sierra,2019–2020,Child vs. adult,18+ years,15.600,(12.0–19.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2019–2020,Child vs. adult,18+ years,15.600,(12.0–19.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2019–2020,Child vs. adult,18+ years,26.900,(18.7–35.0),,
Sonoma,2019–2020,Child vs. adult,18+ years,20.200,(14.7–25.8),,
Stanislaus,2019–2020,Child vs. adult,18+ years,17.100,(13.3–21.0),,
Sutter,2019–2020,Child vs. adult,18+ years,17.400,(10.0–24.8),,
Tehama,2019–2020,Child vs. adult,18+ years,20.200,(13.1–27.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2019–2020,Child vs. adult,18+ years,15.600,(12.0–19.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2019–2020,Child vs. adult,18+ years,12.000,(7.9–16.1),,
Tuolumne,2019–2020,Child vs. adult,18+ years,26.600,(21.3–32.0),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2019–2020,Child vs. adult,18+ years,11.700,(9.0–14.3),,
Yolo,2019–2020,Child vs. adult,18+ years,28.500,(19.6–37.4),,
Yuba,2019–2020,Child vs. adult,18+ years,16.500,(11.7–21.4),,
California,2019–2020,Age groups,0–4 years,4.600,(3.3–5.9),,
Alameda,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Alpine,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Amador,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Butte,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Calaveras,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Colusa,2019–2020,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2019–2020,Age groups,0–4 years,4.700,(0.3–9.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Del Norte,2019–2020,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Fresno,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Glenn,2019–2020,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Imperial,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Inyo,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Kern,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Kings,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Lake,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
